sozum,anlami,anahtar,turu2,kategori
bir söylemek pir söylemek,uzatmadan gereği gibi söylemek.,bir,Deyim,4
"(bir söz, birilerinin) ağzında çalkalanmak",üzerinde çok konuşulmak:<i> 'Fakat bütün memleketin ağzında çalkalanan bu evlerin anha minha 5000 liradan fazlaya çıkmayacağı.' -</i>S. F. Abasıyanık.,ağız(I),Deyim,9
bir sürçen atın başı kesilmez,şimdiye kadar sizi memnun etmiş olan kişi bir kez yanlış iş yaptığında kendisine hemen ağır ceza verilmemelidir.,"sürçmek, at, kesilmek",Atasözü,4
(bir şey) abanoz kesilmek,"1) sertleşerek dayanıklılığı artmak; 2) kirden dolayı matlaşmak, rengini kaybetmek.",abanoz,Deyim,8
(bir şey) akılda kalmak,"akılda yer etmek, unutulmamak.",akıl,Deyim,6
(bir şey) akıldan çıkmak,unutulmak.,akıl,Deyim,4
(bir şey) aleyhe dönmek,destek vermekten vazgeçip karşı duruma geçmek:<i> 'Şimdi iş tamamıyla aleyhimize döndü.' -</i>A. Rasim.,aleyh,Deyim,4
(bir şey) aslanın ağzında olmak,elde edilmesi çok güç olmak.,aslan,Deyim,1
(bir şey) ayağa düşmek,1) ilgisiz ve yetkisiz kimseler karışmak; 2) artık her yerde bulunabilir olmak:<i> Bu ürünler ayağa düştü.</i>,ayak,Deyim,1
(bir şey) az gelmek,yetmemek.,az,Deyim,4
(bir şey başka bir şeyi) mumla aratmak,"daha kötü olan yeni bir şey, bir durum, bir kimse, pek iyi olmayan eskisini aratmak.",mum,Deyim,4
(bir şey) bini aşmak,"çok fazla olmak, sınırı aşmak.",bin,Deyim,9
"(bir şey, bir şeyi) ağır basmak","1) taşıdığı özellikler üstün gelmek:<i> 'Yerli halıları gördüm; koyu sıcak kırmızılarla diri maviler ağır basıyordu.' -</i>B. R. Eyuboğlu. 2) bir işte gücü ve etkisi üstün gelmek:<i> 'Peki deyişleri de akılları yattığı için değil, korkuları ağır bastığı için oldu.' -</i>T. Buğra.",ağır,Deyim,4
"(bir şey, bir) vadiye dökülmek",sohbet belirli bir konuya kaymak:<i> 'Musahabe bu vadiye dökülünce tekrar karışmak ihtiyacını duydum.' -</i>Y. K. Karaosmanoğlu.,vadi,Deyim,4
(bir şey birine) alay gibi gelmek,inanılacak gibi olmamak.,alay(II),Deyim,4
(bir şey birine) haram olmak,bir şeyden gereği gibi yararlanamamak:<i> 'Yanında oturup iki laf etmek haram oldu bize.' -</i>M. İzgü.,haram,Deyim,6
"(bir şey, birinin) ağzının kaşığı (kalıbı, lokması) olmamak","1) bir şey, bir kimsenin uğraşabileceği konulardan olmamak; 2) bir şey, bir kimsenin sözünü edemeyeceği kadar değerli olmak.",ağız(I),Deyim,4
(bir şey birinin) aklını başından almak,"bir şey birini düşünemeyecek bir duruma getirmek, çok şaşırtmak:<i> 'Beyim böyle latife olur mu? Aklımızı başımızdan aldınız diye isyan etti.' -</i>R. N. Güntekin.",akıl,Deyim,5
(bir şey birinin) aklını çalmak,ilgisini aşırı derecede çekmek.,akıl,Deyim,5
(bir şey birinin) başının altından çıkmak,birinin hilesiyle yapılmak:<i> 'Anlaşıldığına göre bu iş Saniye'nin İstanbullu anasının başının altından çıkmıştı.' -</i>R. N. Güntekin.,baş(I),Deyim,5
(bir şey birinin) belini bükmek,çaresizlik içinde bırakmak:<i> 'Şu kör olası işsizlik belimi fena hâlde büküyordu.' -</i>H. Taner.,bel(II),Deyim,5
(bir şey birinin) boyunu aşmak,"kişinin gücünün, yeteneğinin, yetkisinin üstünde olmak.",boy(I),Deyim,5
(bir şey birinin) gözünde olmamak,herhangi bir üzüntü veya zor durum dolayısıyla o şeye değer verecek durumda bulunmamak.,göz,Deyim,5
(bir şey birinin) gücüne gitmek,"gönlü kırılmak, onuruna dokunmak:<i> 'Bugünkü hâlimizle tabiatın sırlarını kavrayamayacağımızı düşünmek bizi sinirlendiriyor, gücümüze gidiyor.' -</i>N. Ataç.",güç(I),Deyim,5
(bir şey birinin) tuhafına gitmek,o şeyi tuhaf bulmak:<i> 'Ömründe bu kadar tuhafına giden söz işitmemiş olduğunu söylerdi.' -</i>A. Ş. Hisar.,tuhaf,Deyim,5
"(bir şey, birinin) vazifesinden olmak",bir şey o kimsenin görevleri arasında olmak.,vazife,Deyim,1
(bir şey birinin) zevkini okşamak,o şeyden hoşlanmak.,zevk,Deyim,5
(bir şey birinin) zıddı olmak,"bir şey birini tedirgin etmek, hoşuna gitmemek.",zıt,Deyim,5
(bir şey birinin) zihnini bulandırmak,kuşkuya düşürmek.,zihin,Deyim,5
(bir şey birinin) zihnini kurcalamak (tırmalamak),"1) bir şey sık sık hatırlanıp insanı düşündürmek:<i> 'Beni sevmiyor, yeniden zihnimi kurcalamak, sinirlerimi üzüntü içinde bırakmak istiyor.' -</i>E. İ. Benice. 2) çözülmesi gerekli bir konu üzerinde durmak.",zihin,Deyim,4
(bir şey birinin) zoruna gitmek,"onuruna dokunmak, gücüne gitmek.",zor,Deyim,5
(bir şey) buradayım diye bağırmak,göze çarpacak bir yerde bulunmak.,burada,Deyim,4
(bir şey) çok gelmek,1) gereğinden fazla olmak:<i> 'Mahkeme masrafı çok geldiği için bu isteklerini gerçekleştiremediler.' -</i>Ü. Dökmen. 2) çekilmez ve katlanılmaz olmak.,çok,Deyim,9
(bir şey) dişe dokunur (olmak),"işe yarar, belirtilmeye değer, önemli (olmak):<i> 'Bu türlü yazıları okumaktan -içlerinde dişe dokunur bir şey olmadığı için midir, nedir- pek hoşlanmıyorum.' -</i>O. V. Kanık.",diş,Deyim,1
(bir şey) el değiştirmek,bir şeyin kullanımı veya mülkiyeti bir kimseden başka bir kimseye geçmek.,el(I),Deyim,4
(bir şey) elden gitmek,"bir şeyi yitirmek, o şeyden yoksun kalmak:<i> 'Kahramanlıktı yurdun meyve veren tek dalı / O da elden giderse nereye başvurmalı?' -</i>F. N. Çamlıbel.",el(I),Deyim,4
(bir şey) eli altında olmak,"buyruğunda olmak, istediği anda o şeyden yararlanabilmek.",el(I),Deyim,1
(bir şey) gözüne ilişmek,"birdenbire, istemeden görmek:<i> 'Tam kapı yanında bir sütçü dükkânı gözüme ilişti.' -</i>R. H. Karay.",göz,Deyim,4
(bir şey) gözünü almak,1) şiddetli ışık sebebiyle gözü iyi göremez duruma getirmek; 2)<i> mec.</i> aşırı biçimde etkilenmek.,göz,Deyim,7
(bir şey) haritada olmak,göz önünde bulundurulması gerekmek.,harita,Deyim,1
(bir şey) hava almak,içine hava girmek.,hava,Deyim,7
(bir şey için) birebir gelmek,etkisini hemen ve kesin olarak göstermek:<i> 'Şeftali suyu ile yapılacak gargaranın sonradan olma kekemeliğe birebir geleceğini söyler.' -</i>S. Birsel.,birebir,Deyim,8
(bir şey için veya bir şeye) deli olmak,"<i>tkz.</i> 1) çok sevmek:<i> Deli oluyordu çocuklara, onlarsız edemiyordu.</i> 2) çok sinirlenmek; 3) delirmek.",deli,Deyim,9
(bir şey) içinde yüzmek,olumlu veya olumsuz bir durumun aşırı derecesinde bulunmak:<i> Para içinde yüzmek. Sefalet içinde yüzmek.</i>,iç,Deyim,4
(bir şey) iki baştan olmak,"bir şey, her iki tarafın aynı şeyi istemesiyle, iyi niyetiyle gerçekleştirilebilmek:<i> İyi geçim iki baştan olur.</i>",iki,Deyim,4
(bir şey) kanına işlemek,"1) bir şeyi aşırı ölçüde benimsemek:<i> 'Kanıma işleyen müzik ateşinden, kurduğum şarkıcılık düşlerinden ne yazık ki söz edemeyeceğim.' -</i>M. Mungan. 2) büyük ölçüde etkisinde kalmak:<i> 'Her şeye karşın iş adamlığı kanına işlemişti.' -</i>T. Yücel.",kan,Deyim,4
(bir şey) kapak atmak,"aşırı, tıka basa dolmuş olmak:<i> Elbise dolabı kapak atıyor.</i>",kapak,Deyim,1
(bir şey) kir götürmek,kirini belli etmeyecek bir renkte olmak.,kir,Deyim,1
(bir şey) kir tutmak,"kirini hemen belli edecek bir renkte olmak, çok kirlenmek.",kir,Deyim,9
(bir şey) kursağında kalmak,"istenilen bir şey gerçekleşememek, yarım kalmak.",kursak,Deyim,4
(bir şey) mecrasında gitmek,bir iş kurallarına uygun bir biçimde yürümek.,mecra,Deyim,4
(bir şey) muallakta olmak (kalmak),"sonuca bağlanmamak, sürüncemede kalmak.",muallak,Deyim,1
(bir şey olmaya) yüz tutmak,"1) bir şey, olmak üzere bulunmak:<i> 'Duvarları sıvasız, kepenkleri boyanmadan bırakıldığı için çürümeye yüz tutmuş evde Hatice nine oturuyordu.' -</i>N. Cumalı. 2) giderek biçim ve renk değiştirmek:<i> 'Hepimiz gölgelenmeye yüz tutan ateşe gözlerimizi dikmiştik.' -</i>S. F. Abasıyanık.",yüz(II),Deyim,4
bir şey sanmak,"bir kimseyi, bir şeyi, bir yeri gerçeğinden, olduğundan başka türlü düşünerek hayal kırıklığına uğramak, değerlendirmede yanılmak:<i> Tüccar deyince biz de onu bir şey sandık.</i>",bir,Deyim,4
bir şey söylemek,"1) konuşmak; 2) belirtmek, anlatmak, ifade etmek.",bir,Deyim,6
(bir şey) su gibi gitmek,bol bol harcanmak.,su(I),Deyim,4
(bir şey) su sabun görmemek,"çok kirli olmak:<i> 'Elleri, tırnakları, yüzü günlerdir su sabun görmemişti sanki.' -</i>A. Kulin.",su(I),Deyim,9
(bir şey) suyu nereden geliyor?,'bir işi görmek için harcanan para hangi kaynaktan sağlanıyor?' anlamında kullanılan bir söz.,su(I),Deyim,3
bir şey (şeyler) olmak,"1) huyu, durumu, tutumu değişmek, yeni huylar edinmek:<i> Son zamanlarda ona bir şeyler oldu.</i> 2) bayılır gibi olmak, birden fenalık gelmek:<i> Bana bir şeyler oluyor, dedi ve bayıldı.</i> 3) ölmek:<i> Bana bir şey olursa çocuklar size emanet.</i>",bir,Deyim,1
(bir şey) ters gitmek,"bir iş doğru ve düzgün yürümemek, sorun çıkmak:<i> 'Kadın elinde olmadan yutkundu, bir şeylerin ters gittiğini hemen anlamıştı.' -</i>O. Aysu.",ters(I),Deyim,4
(bir şey veya bir şeyi) suya düşmek,"gerçekleşme olasılığı kalmamak:<i> 'Artık karşı koyma ümidi suya düşmüştü, harp her cephede kaybedilmişti.' -</i>R. H. Karay.",su(I),Deyim,4
(bir şey) yolunda görünmek,sorunsuz olduğu anlaşılmak:<i> 'Gecekondunun ışıkları yanıyor ve her şey yolunda görünüyordu.' -</i>O. Aysu.,yol,Deyim,8
(bir şey) yüzü görmemek,"...-den yoksun olmak, uzak bulunmak:<i> 'Yüzyıllardan beri sabah yüzü görmemiş uçsuz bucaksız kıraç topraklar.' -</i>Y. K. Karaosmanoğlu.",yüz(II),Deyim,1
(bir şeyde) gönlü olmak,sevip istemek.,gönül,Deyim,1
(bir şeyde) gözü olmak,"bir şeyi ele geçirmek isteği beslemek:<i> 'Allah bilir, milletvekilliğinde de gözü vardır.' -</i>H. Taner.",göz,Deyim,4
(bir şeyde) gözü olmamak,"1) bir şeye sahip olmayı istememek; 2) heves beslememek, fazla önem vermemek:<i> 'Giyinip kuşanmakta, gezip tozmakta gözüm yok.' -</i>R. N. Güntekin.",göz,Deyim,4
(bir şeyde) hayır kalmamak,"işe yarar durumu kalmamak, artık işe yaramaz olmak:<i> 'Bir iki yıla varmaz, ne evden ne eşyadan hayır kalır.' -</i>Y. K. Karaosmanoğlu.",hayır(II),Deyim,4
(bir şeyde) iş yok,<i> tkz.</i> 'o şeyden yarar beklememeli' anlamında kullanılan bir söz.,iş,Deyim,3
(bir şeyde) karar bulmak,1) kararlı bir durum almak; 2) yatışmak.,karar,Deyim,7
(bir şeyde) tuzu olmak,katkısı olmak.,tuz,Deyim,1
(bir şeyden) baş alamamak,"çok uğraştıran bir konu yüzünden vakit ve fırsat bulamamak:<i> 'Benim hilem hurdam yoktur, canı isteyen baktırmasın, zaten bu sanattan memnun değilim. Lakin baş alamıyorum ki.' -</i>H. R. Gürpınar.",baş(I),Deyim,4
(bir şeyden) baş almak,fırsat bulmak:<i> 'Ara sıra işten baş aldıkça Semiha'yı özlüyordum.' -</i>R. N. Güntekin.,baş(I),Deyim,7
(bir şeyden) başını alamamak,bir şeyden kurtulamamak:<i> Dertten başını alamıyor.</i>,baş(I),Deyim,4
"(bir şeyden, birinden) geri kalmamak",1) yapmaktan kaçınmamak:<i> 'Daima müttefikler lehine çarpışmaktan geri kalmadılar.' -</i>F. R. Atay. 2) birinden daha az başarılı olmamak.,geri(I),Deyim,8
(bir şeyden) dem vurmak,"bir şeyden söz etmek, konu açmak:<i> 'Benim gibi kurak çölde yaşayanların şiirden, hünerden dem vurmaları nasıl mümkün olur?' -</i>A. Kabaklı.",dem(I),Deyim,4
(bir şeyden) el ayak (etek) çekmek,"uzaklaşmak, kaybolmak:<i> 'Tarzının, yönteminin piyasadan el ayak çekmek zorunda kalacağını açık seçik kavrıyorsunuz.' -</i>S. İleri.<i> 'Bazı meddahlar da Karagöz oynatmış, şahbaz, hayalbaz veya hayalî isimleriyle yaşadıktan sonra temaşa hayatımızdan el etek çekmişlerdir.' -</i>S. Ayverdi.",el(I),Deyim,8
(bir şeyden) geçilmemek,"bol, çok, aşırı olmak:<i> Çarşıda meyveden geçilmiyor.</i>",geçilmek,Deyim,9
(bir şeyden) gözünü ayırmamak,"bir şeye sürekli olarak bakmaktan kendini alamamak:<i> 'Ateşoğlu, bir yandan da gözlerini deniz yüzüne gelen ve yüzde suyu fokurdatan hava habbelerinden ayırmıyordu.' -</i>Halikarnas Balıkçısı.",göz,Deyim,4
(bir şeyden) hayır görmemek,"bir şey kendisine yararlı olmamak:<i> 'Ne o, ne ben bu seçimlerimizin hayrını görmüştük!' -</i>H. F. Ozansoy.",hayır(II),Deyim,4
(bir şeyden) hayır yok,'bir şey yararlı değil' anlamında kullanılan bir söz.,hayır(II),Deyim,3
(bir şeyden) ileri gelmek,"1) oluşmak, meydana gelmek:<i> 'O kadar üşümesi trende saatlerce hareketsiz kalmasından ileri geliyordu.' -</i>S. F. Abasıyanık. 2) neden olmak; 3) bağlı bulunmak.",ileri,Deyim,1
(bir şeyden) kâm almak,"umduğunu ve istediğini elde etmek, dilediği biçimde zevk almak, keyfini çıkarmak.",kâm,Deyim,7
(bir şeyden) kapı açmak,1) bir şeyin sözünü etmek veya bir işe başlamak; 2) pazarlığa çok yüksek bir fiyatla başlamak.,kapı,Deyim,4
(bir şeyden) mana (manası) çıkmak,"anlamına gelmek, anlamını taşımak:<i> 'Kızın adını Emel koydu. Oğlanınkini Fethi ... Sanki bundan emelini fethetmiş manası çıkıyordu.' -</i>H. R. Gürpınar.",mana,Deyim,8
(bir şeyden) söz etmek,o şey üzerinde konuşmak:<i> 'Dilin çağdaş kadın yazara hazırladığı tuzaklardan söz etmişti.' -</i>T. Uyar.,söz,Deyim,6
(bir şeyden) sünger geçirmek,"silip atmak, unutmak.",sünger,Deyim,4
(bir şeyden) zevk almak (duymak),"hoşlanmak, beğenmek:<i> 'Yılan gibisin, insanları sokmaktan zevk alırsın.' -</i>N. Hikmet.",zevk,Deyim,7
(bir şeye) akıl sır ermemek,"bir işin niteliğini, gizli yönlerini anlayamamak.",akıl,Deyim,4
bir şeye benzememek,işe yarar durumda olmamak.,bir,Deyim,4
"(bir şeye, bir kimseye) yazık olmak",boş yere zarar verilmek:<i> Masrafa yazık oldu. Adama yazık oldu.</i>,yazık,Deyim,4
(bir şeye) can dayanmamak,bir şey karşısında insanın dayanıklılığı elden gitmek:<i> 'Bir lacivert petunya vardır ki renginin hoşluğuna canlar dayanmaz.' -</i>A. Boysan.,can,Deyim,4
(bir şeye) can gelmek,"canlanmak, güçlenmek:<i> 'Vücudumuza serinlik, ferahlık yayılıyor / Kan verilen bir yaralı imişçesine cismime can geliyor' -</i>R. H. Karay.",can,Deyim,4
(bir şeye) cila vermek,aydınlatmak:<i> 'Çocukluk günlerin hatırası zihinlerine cila vermişti.' -</i>R. N. Güntekin.,cila,Deyim,8
(bir şeye) doyum olmamak,"1) bir şeyden bıkılmamak:<i> 'İnsanına, nimetine, hayaline, hürriyetine, şairine, şarabına doyum olmuyor.' -</i>N. Hikmet. 2) bir şey yetmemek, bir şeye kanamamak; 3) bir şeyi çok fazla beğenmek.",doyum,Deyim,4
(bir şeye) dürbünün tersiyle bakmak,"bir şeyi küçümsemek, olduğundan çok daha az önemli görmek.",dürbün,Deyim,4
(bir şeye) düşkün olmak,"çok önem, değer vermek:<i> 'Şiire milletçe düşkün oluşumuzun sebeplerini araştırırken kafiye merakımıza takıldım.' -</i>B. R. Eyuboğlu.",düşkün,Deyim,9
(bir şeye) elini sürmemek,"1) eliyle dokunmamak; 2)<i> mec.</i> hiç karışmamak, bir şey yapmamak:<i> 'O gün akşamı böyle ettik, kimse elini işe sürmedi.' -</i>M. İzgü. 3)<i> mec.</i> bir işi kendine yakıştırmayarak tenezzül etmemek; 4)<i> mec.</i> ilgi göstermemek.",el(I),Deyim,4
(bir şeye) Fatiha okumak,o şeyden umudunu kesmek.,Fatiha,Deyim,4
(bir şeye) gebe olmak,bir şeyin gerçekleşme olasılığı bulunmak.,gebe,Deyim,1
(bir şeye) gölge düşürmek,bir şeyin değerini veya ününü azaltacak işler yapmak:<i> 'Bu iki yazarın usta hikâyeci vasıflarına gölge düşürmüştür.' -</i>A. Ş. Hisar.,gölge,Deyim,4
(bir şeye) gönlü olmak,razı olmak.,gönül,Deyim,1
(bir şeye) gözü gitmek,"bir şeyi istemeden görmek, elinde olmayarak bakmak.",göz,Deyim,4
(bir şeye) gözü (gözleri) takılmak,dikkati çeken bir şeyden bakışlarını ayıramamak:<i> 'Gözleri başka bir sahifenin ortalarına takıldı.' -</i>P. Safa.,göz,Deyim,4
(bir şeye) gözünü yummak,görmezlikten gelmek.,göz,Deyim,4
(bir şeye) ... gözüyle bakmak,yerine koymak:<i> Kardeş gözüyle bakmak.</i>,göz,Deyim,4
(bir şeye) haciz koymak,borçlunun malına el koymak:<i> 'Ya parayı verirsiniz ya da haciz korum.' -</i>B. Felek.,haciz,Deyim,8
(bir şeye) hasret bırakmak,"gerektiği anda bir şeyin yokluğunu hissettirmek:<i> 'Kış günü, çoluğu çocuğu battaniyeye hasret bırakıp hepsini topladım, balkonda yattım.' -</i>M. İzgü.",hasret,Deyim,4
(bir şeye) hayat vermek,"canlılık vermek, canlandırmak.",hayat(I),Deyim,4
(bir şeye) imza atmak,"imzalamak:<i> 'Önüne bir tomar parşömen çeken ağa, yeni öğrendiği imzasını atmaya başladı.' -</i>O. Kemal.",imza,Deyim,4
(bir şeye) kanaat getirmek,"kanmak, aklı yatmak, inanmak:<i> 'Artık Kâmuran'ın ömrümün en büyük aşkı, geleceğime bir tek hâkim kudret olduğuna kanaat getirdim.' -</i>H. E. Adıvar.",kanaat,Deyim,4
(bir şeye) ket vurmak,engel olarak güçleştirmek:<i> 'Yerli atölyelerin işine ket vuruyorlarmış.' -</i>O. Kemal.,ket,Deyim,8
"(bir şeye, kimseye) yazık etmek",boş yere zarar vermek:<i> Kumaşa yazık etti. Çocuğa yazık ettiniz.</i>,yazık,Deyim,6
(bir şeye) kul olmak,"aşırı derecede bağlanmak, boyun eğmek:<i> 'Ben serüvenlere kul olmayacağım, serüvenler bana kul olacak.' -</i>A. İlhan.",kul,Deyim,1
(bir şeye) kulak (kulaklarını) tıkamak,"bir şeyi duymazlıktan gelmek:<i> 'Vücudu içinden duyduğu çöküntülere kulaklarını tıkar, gözlerini yumar.' -</i>A. Ş. Hisar.",kulak(I),Deyim,4
(bir şeye) kulak vermek,"değer vermek, önemsemek:<i> 'Usa ve gerçeğe uygun anlatışlara kulak verenin olmadığı görüldü.' -</i>Halikarnas Balıkçısı.",kulak(I),Deyim,8
(bir şeye) kuvvet vermek,bir konuya çok önem vermek:<i> Matematiğe kuvvet verince öbür derslerini yetiştiremedi.</i>,kuvvet,Deyim,4
"(bir şeye) merak sarmak (duymak, salmak)","bir şeyi edinme, yapma veya onunla uğraşma isteğine kapılmak, bir şeye eğilim duymak:<i> 'Bu adama, her gördüğüm vakit, merhamet ve korku ile karışık bir merak duyuyordum.' -</i>R. N. Güntekin.<i> 'Miralay beyimiz, emekli olduktan sonra komisyonculuğa kalkan veya cins tavuk yetiştirmeye merak salan soydan değildir.' -</i>H. Taner.",merak,Deyim,4
(bir şeye) pamuk ipliğiyle bağlanmak,"her an bozulmaya, kopmaya hazır olmak.",pamuk ipliği,Deyim,1
(bir şeye) renk gelmek,"renklenmek, canlanmak:<i> 'Sarı yanaklarına hafif bir renk geldi.' -</i>Ö. Seyfettin.",renk,Deyim,4
(bir şeye) sünger çekmek,"bir şeyi hiç olmamış saymak, silmek, silip atmak, unutmak:<i> 'Bir türlü doyamadığım hürriyetimin üstüne sünger çekmek lazım geliyordu.' -</i>O. Kemal.",sünger,Deyim,4
(bir şeye şu veya bu) nazarıyla bakmak,"ona öyle imiş gibi, o gözle bakmak:<i> Ona düşman nazarıyla bakıyor.</i>",nazar,Deyim,8
(bir şeye) tuz biber ekmek,"üzüntüyü, kusuru artıracak durum yaratmak.",tuz,Deyim,4
(bir şeye) yatkın bulmak,uygun görmek:<i> 'Bugün birçoğumuzun romana yatkın bulmayacağı anlatımları pek rahat kullanmıştır.' -</i>S. İleri.,yatkın,Deyim,8
(bir şeye) yüz tutmak,yönelmek:<i> 'Biçare Yunus'un çoktur günahı / Hakk'ın dergâhına yüz tutmuşum ben' -</i>Yunus Emre.,yüz(II),Deyim,8
(bir şeye) yüzü olmamak,1) o şeye dayanamamak; 2) cüret ve cesareti olmamak; 3) utanmak.,yüz(II),Deyim,4
(bir şeye) yüzü tutmamak,"1) haklı da olsa karşısındakini kıracak bir davranışta bulunmaktan çekinmek:<i> 'O böyle kimseyi kırmak istemedikçe, kimseye olmaz demeye yüzü tutmadıkça ne kadar istemese çevresi onu kıracak, üzecekti.' -</i>N. Cumalı. 2) utanmak.",yüz(II),Deyim,4
(bir şeye) zihni takılmak,1) yanlış bir kanıya takılıp kalmak; 2) çözülmesi gerekli bir konu üzerinde durmak.,zihin,Deyim,4
(bir şeyi) abes bulmak,"gereksiz, saçma sapan olarak kabul etmek:<i> 'Annem eniştemizin bu son sözlerini dinlemeyi artık abes bulurdu.' -</i>A. Ş. Hisar.",abes,Deyim,6
(bir şeyi) ağzına sürmemek,herhangi bir yiyeceği veya içeceği hiç yememek veya içmemek.,ağız(I),Deyim,4
(bir şeyi) ağzında gevelemek,açıkça söylememek.,ağız(I),Deyim,4
(bir şeyi) aklına koymak,"1) bir şeyi yapmaya kesin olarak karar vermek:<i> 'Fakat Ömer birinci mevkiye oturmayı aklına koymuştu.' -</i>N. Hikmet. 2) çok istemek:<i> 'Bir düşünsün, meslekte kalmayı aklına koyuyorsa gecikmesin, vardiyaya buyursun.' -</i>Z. Selimoğlu.",akıl,Deyim,4
(bir şeyi) aklında tutmak,"1) bellemek; 2) unutmamak:<i> 'Nasıl aklında tutar bilinmez, gelmiş geçmiş onca başbakanın adlarını sayar.' -</i>M. İzgü.",akıl,Deyim,4
(bir şeyi) anlata anlata bitirememek,beğenilen bir şeyden çok söz etmek.,anlatmak,Deyim,6
(bir şeyi) arkada bırakmak,1) bir şeyden epey uzaklaşmış bulunmak; 2) zaman veya düşünce bakımından geçmişte bırakmak:<i> 'Uyandığımız zaman üçte birini arkada bırakmışızdır başlayan günün.' -</i>S. F. Abasıyanık.,arka,Deyim,4
(bir şeyi) ayakta tutmak,"1) o şeyin sürekliliğini sağlamak:<i> 'Meddahlar seyirciyi meraklandırmayı, ilgilerini sürekli ayakta tutmayı çok iyi bilirler.' -</i>M. And. 2) bozulmasına, yıkılmasına, çökmesine engel olmak; 3) bir kuruluşun yaşamasını sağlamak.",ayakta,Deyim,4
(bir şeyi) başlangıç tutmak (almak),"bir işi, bir dönemin, başladığı nokta veya tarih olarak kabul etmek, belirtmek:<i> 'Tarihler, bu sorunu açıklarken 1071 yılını başlangıç tutarlar.' -</i>C. Uçuk.",başlangıç,Deyim,4
(bir şeyi) bir köşeye atmak,gerektiğinde kullanılmak için bir yere koymak.,bir,Deyim,4
"(bir şeyi, bir şeye) nişan koymak","ileride tanıyabilmek veya ölçebilmek için bir şeyin durumunu, onun herhangi bir özelliğini akılda tutmak veya iz bırakmak:<i> Dönüşte yolumuzu şaşırmamak için şu çifte kavakları nişan koymuştuk.</i>",nişan,Deyim,4
"(bir şeyi, bir yeri) siper almak","bir şeyi siper olarak kullanarak gizlenmek:<i> 'Kayaların arasını siper aldım, çevreyi gözetlemeye başladım.' -</i>M. Yesari.",siper,Deyim,4
(bir şeyi birine) çok görmek,yadırgamak:<i> 'Mehmetçiğimiz ayrıca anıtlara layıktır. Onun köylere kadar anıtlaştırılmasını çok görmem.' -</i>P. Safa.,çok,Deyim,9
(bir şeyi birine) haram etmek,o şeyden umulan yarar ve rahatı tattırmamak.,haram,Deyim,6
(bir şeyi birinin) başına sarmak,birine musallat etmek.,baş(I),Deyim,5
(bir şeyi) çorba etmek,karıştırmak.,çorba,Deyim,6
(bir şeyi) deve yapmak (etmek),"başkasının malını kendine mal etmek:<i> 'Onu soyup soğana çevirecek, babasından kalan evleri, dükkânları birtakım maceralar yüzünden deve yapacaktı.' -</i>O. C. Kaygılı.<i> 'Allem ettiler kallem ettiler sonunda bizim eşeği deve ettiler.' -</i>Halikarnas Balıkçısı.",deve,Deyim,6
(bir şeyi) garanti etmek,1) o şeyle ilgili olarak güvence vermek; 2) bir işin gerçekleşmesi için gerekli önlemleri almak.,garanti,Deyim,7
(bir şeyi) gâvur etmek,"boşuna harcamak, yerinde harcamamış olmak, işe yaramaz duruma getirmek.",gâvur,Deyim,6
(bir şeyi) geri vermek,"aldığı yere veya kimseye vermek, iade etmek.",geri(I),Deyim,6
(bir şeyi) gizli tutmak,"başkalarına duyurmamak, saklamak.",gizli,Deyim,4
(bir şeyi) gözü gibi sakınmak (saklamak veya esirgemek),"bir şeye aşırı ilgi göstermek, önemle bakıp korumak:<i> 'Doğru, hakları vardı, koskoca sandalıyla da beraber gömemezdiler ama çok sevdiği, gözü gibi esirgediği ağlarıyla gömebilirlerdi.' -</i>S. F. Abasıyanık.",göz,Deyim,4
(bir şeyi) gözü gibi sevmek,pek çok sevmek.,göz,Deyim,9
(bir şeyi) hazır etmek,hemen kullanabilecek duruma getirmek.,hazır,Deyim,6
(bir şeyi) hedef almak,"1) nişan almak; 2) ulaşılmak istenen amaca göre davranmak; 3) bir kimseyi, bir yeri yıpratmak, eleştirmek amacıyla karşısına almak.",hedef,Deyim,7
(bir şeyi) hesaba almak,"göz önünde bulundurmak, işini yürütürken o şeyi de düşünmek.",hesap,Deyim,7
(bir şeyi) hesaptan düşmek,"hesaptan, borçtan, alacaktan indirmek, çıkarmak.",hesap,Deyim,4
(bir şeyi) hurdaya çevirmek,işe yaramaz duruma getirmek.,hurda,Deyim,4
(bir şeyi) içi kabul etmemek,"1) bir şeyden midesi bulanmak; 2)<i> mec.</i> benimsememek, kabullenememek.",iç,Deyim,4
(bir şeyi) içinde duymak,"hissetmek, varlığını algılamak:<i> 'Donmak üzere olan insanların tatlılığını içimde duymaya başladım.' -</i>S. F. Abasıyanık.",iç,Deyim,4
(bir şeyi) imza etmek,"imzalamak:<i> 'Bir haftaya kalmayacak, bizim delegeler sulhu imza edecekler.' -</i>Ö. Seyfettin.",imza,Deyim,6
(bir şeyi) katık etmek,"ekmeğin çok, yemeğin az olduğu durumlarda yemeği ölçülü yemek.",katık,Deyim,0
